top_n,target_vol,mom_lookback_days,AnnRet%,AnnVol%,Sharpe,Sortino,MDD%,HitRate%,AvgTurnover%/day,MedTurnover%/day
25,0.08,189,10.269095819158691,8.924254771662978,1.0955814553444594,1.575988586133612,-20.50923344217854,55.6171763587387,1.5128440366972478,0.0
25,0.08,252,8.157790843034762,8.995418609170475,0.8719238975956075,1.2015460406928378,-19.202782996852854,55.33685389662346,1.31651376146789,0.0
25,0.08,315,9.613065298823308,9.626774374588111,0.9536227250280002,1.4851357808393508,-17.203196935844645,55.08488278092158,1.1899082568807338,0.0
25,0.1,189,13.060354384464446,11.103771334349,1.1057639572391642,1.5842181299992764,-24.89937542135089,55.648867057518615,1.5128440366972478,0.0
25,0.1,252,10.54152344108521,11.139889091232995,0.899838167321205,1.2510206314583758,-23.39618920416222,55.33685389662346,1.31651376146789,0.0
25,0.1,315,12.05797768982606,11.63634831638709,0.9785881813076533,1.474394858390477,-21.01198904477547,55.14955537590945,1.1899082568807338,0.0
25,0.12000000000000001,189,15.92198107407361,13.290878491035485,1.1119695542524453,1.5896958037427624,-29.088489857744992,55.71224845507844,1.5128440366972478,0.0
25,0.12000000000000001,252,12.977579026625818,13.299286336593616,0.9177089661010486,1.2823381993529765,-27.42100645696304,55.400864138262115,1.31651376146789,0.0
25,0.12000000000000001,315,14.557202493347067,13.697898155563996,0.9924205089933922,1.467220163118931,-24.690557130373815,55.19805982215037,1.1899082568807338,0.0
50,0.08,189,9.44926563631836,8.939839347168926,1.010164750007544,1.4233629255192888,-21.649483758804987,55.7597845032483,1.385321100917431,0.0
50,0.08,252,8.139155136370913,8.901205034335751,0.8792161816111058,1.2382966503219635,-18.849468656824676,55.032805248839814,1.2159021406727828,0.0
50,0.08,315,8.942628471857583,9.360565629635218,0.9151772896723316,1.3708257311200964,-18.901972771137476,55.2789005658852,1.0801223241590212,0.0
50,0.1,189,12.057775722603935,11.163383051231895,1.0200324191592696,1.4365400872109528,-26.26611008792502,55.775629852638254,1.385321100917431,0.0
50,0.1,252,10.438991081084037,11.111985838237912,0.8937433085023285,1.2607873790170827,-22.98243881405857,55.06481036965914,1.2159021406727828,0.0
50,0.1,315,11.229943203334457,11.425439946801479,0.9317095121804059,1.3633200003616321,-23.04849843241489,55.29506871463218,1.0801223241590212,0.0
50,0.12000000000000001,189,14.7170920960926,13.383342579094256,1.026173031086922,1.4443031120264318,-30.65307719594107,55.83901125019807,1.385321100917431,0.0
50,0.12000000000000001,252,12.787540301893618,13.32487574820473,0.9033061695752677,1.275462853347019,-26.954071525414435,55.09681549047848,1.2159021406727828,0.0
50,0.12000000000000001,315,13.56508690905378,13.52777781990013,0.9405687501111273,1.3583068383368573,-27.032681571024987,55.32740501212611,1.0801223241590212,0.0
100,0.08,189,9.355379497775695,8.93713691680263,1.000864452707668,1.4007816146543595,-19.777676803916055,55.728093804468394,1.1605504587155964,0.0
100,0.08,252,8.416001489733627,8.9648462885818,0.9015041811987228,1.2805051601782358,-18.811040413104717,55.1768282925268,1.0227828746177368,0.0
100,0.08,315,8.594386964838318,9.0181337596281,0.9144134071632394,1.3159033260192345,-19.36800532962546,55.29506871463218,0.9006116207951069,0.0
100,0.1,189,11.900962110393287,11.155623053471137,1.0081832009117908,1.4096159701040776,-24.089975875554458,55.775629852638254,1.1605504587155964,0.0
100,0.1,252,10.654763662841283,11.128315910240525,0.909978410963224,1.2846212710949043,-22.96523851918314,55.1768282925268,1.0227828746177368,0.0
100,0.1,315,10.831182386929218,11.153177867230166,0.9222390758283873,1.3135438586948232,-23.630773524832826,55.31123686337914,0.9006116207951069,0.0
100,0.12000000000000001,189,14.477613229347487,13.365933070834418,1.0118663531899907,1.4129513713533266,-28.220095278678826,55.79147520202821,1.1605504587155964,0.0
100,0.12000000000000001,252,12.939568473129981,13.303044270832231,0.914919006255304,1.287297159906594,-26.95707105071382,55.19283085293647,1.0227828746177368,0.0
100,0.12000000000000001,315,13.113864093985562,13.30531026551654,0.9263587420582383,1.3119659720255141,-27.71797697853072,55.343573160873085,0.9006116207951069,0.0
